product_name,price,link,weight/price
Royal Canin Caniche Adulto, 11.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-caniche-adulto.html,"1,5 Kg./11.99 €/u && 7,5 Kg/42.99 €/u && Pack 2 x 7.5 Kg/83.98 €/u && "
Royal Canin Shih Tzu Cachorro, 13.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-shih-tzu-cachorro.html,"1,5 Kg./13.99 €/u && Pack 2 x 1.5 Kg/25.98 €/u && "
Royal Canin Carlino Adulto, 11.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-carlino-adulto.html,"1,5 Kg./11.99 €/u && 3 Kg./19.99 €/u && Pack 2 x 3 Kg/37.98 €/u && "
Royal Canin Bulldog Frances Cachorro, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-bulldog-frances-cachorro.html,3 Kg./19.99 €/u && 10 Kg/52.99 €/u && Pack 2 x 10 Kg/103.98 €/u && 
Royal Canin Bulldog Inglés Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-bulldog-ingles-adulto.html,3 Kg./18.99 €/u && 12 +2 Kg ¡Gratis!/55.99 €/u && 12 Kg/55.99 €/u && Pack 2 x 12 + 2 Kg ¡Gratis!/109.98 €/u && Pack 2 x 12 Kg/109.98 €/u && 
Royal Canin Maxi Starter Mother&Babydog, 24.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-starter-gestacion-lactancia.html,4 Kg./24.99 €/u && 15 Kg/65.99 €/u && Pack 2 x 15 Kg/127.98 €/u && 
Royal Canin Maxi Dermacomfort Razas Grandes, 16.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-dermacomfort-razas-grandes.html,3 Kg./16.99 €/u && 10 Kg/44.99 €/u && Pack 2 x 10 Kg/87.98 €/u && 
Royal Canin Maxi Adulto Razas Grandes, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-adulto-razas-grandes.html,4 Kg./18.99 €/u && 10 Kg/47.99 €/u && 15 Kg/55.99 €/u && Pack 2 x 15 Kg/107.98 €/u && 
Royal Canin Giant Starter Mother & Babydog, 65.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-giant-starter-gestacion-lactancia.html,15 Kg/65.99 €/u && Pack 2 x 15 Kg/127.98 €/u && 
Royal Canin Giant Puppy, 60.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-giant-puppy-razas-gigantes.html,15 Kg/60.99 €/u && Pack 2 x 15 Kg/117.98 €/u && 
Royal Canin Giant Junior, 60.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-giant-junior-razas-gigantes.html,15 Kg/60.99 €/u && 15 + 3 Kg ¡Gratis!/72.99 €/u && Pack 2 x 15+3 Kg ¡Gratis!/141.98 €/u && Pack 2 x 15 Kg/117.98 €/u && 
Royal Canin Mini Adulto +8 Años, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-adulto-8-anos.html,2 Kg./12.99 €/u && 4 Kg./21.99 €/u && 8 Kg/39.99 €/u && Pack 2 x 8 Kg/77.98 €/u && 
Royal Canin Mini Dermacomfort Razas Pequeñas, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-dermacomfort-razas-pequenas.html,2 Kg./18.99 €/u && 8 Kg/40.99 €/u && Pack 2 x 8 Kg/79.98 €/u && 
Royal Canin Mini Digestive Care, 40.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-digestive-care.html,8 Kg/40.99 €/u && Pack 2 x 8 Kg/79.98 €/u && 
Royal Canin Mini Adult, 11.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-adulto-razas-pequenas.html,2 Kg./11.99 €/u && 4 Kg./21.99 €/u && 8 Kg/36.99 €/u && Pack 2 x 8 Kg/71.98 €/u && 
Royal Canin Mini Light Razas Pequeñas, 7.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-light-razas-pequenas.html,1 Kg./7.99 €/u && 3 Kg./23.99 €/u && 8 Kg/40.99 €/u && Pack 2 x 8 Kg/79.98 €/u && 
Royal Canin Medium Starter Mother&Babydog, 24.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-starter-gestacion-lactancia.html,4 Kg./24.99 €/u && 12 Kg/56.99 €/u && Pack 2 x 12 Kg/111.98 €/u && 
Royal Canin Medium Dermacomfort Razas Medianas, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-dermacomfort-razas-medianas.html,3 Kg./19.99 €/u && 10 Kg/44.99 €/u && Pack 2 x 10 Kg/87.98 €/u && 
Royal Canin Medium Puppy, 6.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-junior-cachorros-razas-medianas.html,1 Kg./6.99 €/u && 4 Kg./20.99 €/u && 10 Kg/57.99 €/u && 15 Kg/59.99 €/u && Pack 2 x 15 Kg/115.98 €/u && 
Royal Canin Medium Adulto Razas Medianas, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-adulto-razas-medianas.html,4 Kg./18.99 €/u && 10 Kg/40.99 €/u && 15 Kg/55.99 €/u && Pack 2 x 15 Kg/107.98 €/u && 
Royal Canin Medium Light Razas Medianas, 17.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-light-razas-medianas.html,3 Kg./17.99 €/u && 13 Kg/52.99 €/u && Pack 2 x 9 Kg/97.98 €/u && 
Royal Canin Medium Sensible Razas Medianas, 17.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-sensible-razas-medianas.html,3 Kg./17.99 €/u && 10 Kg/45.99 €/u && Pack 2 x 10 Kg/95.05 €/u && 
Royal Canin Mini Starter Mother&Babydog, 7.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-mini-starter-gestacion-lactancia.html,"1 Kg./7.99 €/u && 3 Kg./19.99 €/u && 8,5 Kg/46.99 €/u && Pack 2 x 8.5 Kg/91.98 €/u && "
